Channel,Timestamp,X,Y,Z
0,110406346,-0.001,0.021,1.081
0,110408672,0.002,0.015,1.15
0,110410999,-0.001,0.013,1.152
0,110413325,0.005,0.008,1.122
0,110415652,0,0.006,1.094
0,110417979,-0.002,0.008,1.041
0,110420305,-0.007,0.009,1.006
0,110422632,-0.017,0.011,0.985
0,110424959,-0.015,0.008,0.949
0,110427286,-0.021,0.007,0.92
0,110429612,-0.016,0.001,0.928
2,110364264,0.019,-0.031,0.896
2,110366589,0.014,-0.024,0.925
2,110368914,0.02,-0.035,0.982
2,110371239,0.024,-0.033,0.936
2,110373563,0.032,-0.042,0.986
2,110375888,0.037,-0.043,1.092
2,110378212,0.033,-0.041,1.177
2,110380537,0.041,-0.043,1.227
2,110382861,0.037,-0.034,1.162
2,110385186,0.039,-0.027,1.109
2,110387511,0.035,-0.014,0.994
2,110389835,0.018,-0.01,1.002
2,110392160,0.021,-0.006,0.974
2,110394484,0,0,0.974
2,110396809,0.006,0.003,0.936
2,110399133,-0.009,0.005,0.953
2,110401458,-0.005,0.007,0.966
2,110403782,-0.011,0.008,1.045
2,110406107,-0.01,0.006,1.109
2,110408431,-0.002,0.001,1.18
2,110410756,-0.008,-0.001,1.19
2,110413080,-0.002,-0.002,1.167
2,110415404,-0.004,-0.004,1.131
2,110417729,-0.009,-0.005,1.089
2,110420053,-0.01,-0.005,1.049
2,110422378,-0.021,-0.007,1.026
2,110424702,-0.019,-0.01,0.99
2,110427027,-0.025,-0.012,0.958
2,110429351,-0.02,-0.015,0.962
2,110431676,-0.017,-0.023,1.015
0,110431938,-0.015,-0.006,0.99
0,110434265,-0.006,-0.01,1.031
0,110436591,0,-0.02,1.089
0,110438918,0.008,-0.022,1.092
0,110441245,0.02,-0.028,1.096
0,110443572,0.026,-0.026,1.051
0,110445898,0.03,-0.024,1.056
0,110448225,0.03,-0.023,1.015
0,110450552,0.026,-0.015,0.992
0,110452879,0.03,-0.013,0.953
0,110455205,0.025,-0.004,0.929
0,110457532,0.024,-0.003,0.94
0,110459859,0.021,0.002,0.947
0,110462185,0.021,0.002,1.003
0,110464512,0.024,0.001,1.013
0,110466838,0.023,0.006,1.043
0,110469165,0.031,0.001,1.037
0,110471491,0.027,0.005,1.045
0,110473818,0.028,0.002,1.054
0,110476145,0.026,0.002,1.025
0,110478471,0.019,0.004,1.034
0,110480797,0.019,0.003,0.993
0,110483124,0.009,0.004,0.992
0,110485450,0.006,0.002,0.976
0,110487776,-0.001,0.004,0.986
0,110490103,-0.006,0.001,1.007
0,110492430,-0.005,-0.001,1
0,110494756,-0.009,-0.001,1.045
0,110497083,-0.004,-0.006,1.02
0,110499411,-0.005,-0.004,1.063
2,110434001,-0.009,-0.026,1.061
2,110436325,0.002,-0.034,1.115
2,110438650,0.01,-0.034,1.127
2,110440975,0.021,-0.036,1.136
2,110443300,0.027,-0.033,1.096
2,110445624,0.029,-0.03,1.096
2,110447949,0.032,-0.029,1.059
2,110450275,0.027,-0.02,1.03
2,110452599,0.029,-0.02,0.997
2,110454924,0.022,-0.014,0.968
2,110457248,0.022,-0.012,0.976
2,110459572,0.019,-0.009,0.978
2,110461896,0.015,-0.007,1.032
2,110464221,0.021,-0.009,1.049
2,110466546,0.016,-0.003,1.075
2,110468871,0.025,-0.006,1.08
2,110471196,0.021,-0.004,1.078
2,110473521,0.021,-0.003,1.097
2,110475846,0.021,-0.005,1.067
2,110478171,0.013,-0.004,1.075
2,110480495,0.013,-0.007,1.039
2,110482819,0.004,-0.007,1.028
2,110485144,0,-0.01,1.017
2,110487468,-0.006,-0.013,1.018
2,110489793,-0.013,-0.017,1.046
2,110492117,-0.01,-0.02,1.036
2,110494441,-0.019,-0.024,1.084
2,110496765,-0.01,-0.028,1.063
2,110499090,-0.013,-0.028,1.1
2,110501415,-0.005,-0.029,1.095
0,110501738,0.001,-0.01,1.046
0,110504065,0,-0.009,1.057
0,110506391,0.001,-0.008,1.048
0,110508717,0.005,-0.007,1.017
0,110511044,-0.003,-0.005,1.027
0,110513371,0.002,-0.003,0.984
0,110515697,-0.004,0.001,1.015
0,110518023,0,0.002,0.99
0,110520350,0,0.005,1.011
0,110522676,0,0.006,1.018
0,110525002,0.008,0.005,1.011
0,110527330,0.008,0.005,1.043
0,110529656,0.017,0.002,1.014
0,110531984,0.016,0.004,1.045
0,110534310,0.025,0,1.01
0,110536637,0.025,0,1.021
0,110538964,0.027,-0.001,1.005
0,110541290,0.03,-0.002,0.994
0,110543617,0.023,-0.004,1.009
0,110545944,0.024,-0.004,0.982
0,110548271,0.019,-0.005,1.018
0,110550597,0.021,-0.008,0.987
0,110552924,0.018,-0.008,1.016
0,110555251,0.015,-0.008,1.008
0,110557577,0.019,-0.011,1.011
0,110559903,0.015,-0.011,1.026
0,110562230,0.017,-0.014,1.002
0,110564557,0.016,-0.014,1.028
0,110566884,0.017,-0.014,0.995
0,110569211,0.014,-0.011,1.023
2,110503740,-0.005,-0.028,1.093
2,110506065,-0.007,-0.029,1.099
2,110508390,-0.002,-0.027,1.059
2,110510714,-0.008,-0.025,1.072
2,110513039,-0.005,-0.02,1.03
2,110515364,-0.012,-0.019,1.053
2,110517689,-0.011,-0.017,1.04
2,110520014,-0.011,-0.016,1.045
2,110522339,-0.012,-0.014,1.064
2,110524664,-0.002,-0.014,1.048
2,110526989,-0.005,-0.013,1.088
2,110529313,0.008,-0.011,1.059
2,110531638,0.007,-0.012,1.087
2,110533963,0.011,-0.011,1.061
2,110536287,0.017,-0.012,1.059
2,110538612,0.014,-0.013,1.056
2,110540936,0.022,-0.013,1.03
2,110543261,0.013,-0.017,1.058
2,110545586,0.015,-0.017,1.023
2,110547911,0.011,-0.021,1.059
2,110550235,0.009,-0.021,1.035
2,110552560,0.01,-0.025,1.053
2,110554886,0.008,-0.026,1.056
2,110557210,0.011,-0.028,1.05
2,110559535,0.009,-0.03,1.071
2,110561860,0.011,-0.029,1.047
2,110564185,0.011,-0.029,1.071
2,110566510,0.01,-0.028,1.044
2,110568835,0.009,-0.029,1.059
2,110571160,0.003,-0.027,1.057
0,110571538,0.008,-0.01,1.007
0,110573864,0.006,-0.006,1.016
